ID,Work Item Type,Title,State,Priority,Acceptance Criteria
"4","User Story","As a new user I would like to register for the platform","Closed","1","<span lang=X-NONE style=""color:windowtext;font-weight:inherit;font-size:11pt;margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">-Must have unique email</span></span><span style=""color:windowtext;font-weight:inherit;font-size:11pt;margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;"">&nbsp;</span><br><font face=""Calibri, Calibri_MSFontService, sans-serif"" style=""font-weight:inherit;""><span style=""font-size:14.6667px;"">-Must have u</span></font><span style=""font-weight:inherit;"">nique nickname</span><br><span style=""font-weight:inherit;margin:0px;"">-Must have password</span><span style=""color:windowtext;font-weight:inherit;font-size:11pt;margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;"">&nbsp;</span><br><br><br><br>"
"5","User Story","As a user, I would like to be able to log out of the platform ","Closed","2","<div>-Provide the user a button to log out</div><div>-User is brought back to login screen</div>"
"6","User Story","As a user, I would like to be able to log into the platform ","Closed","1","<div>-Users must be able to log in using email &amp; password</div><div>-Email and password must match a user in the database</div><div>-User capability will be limited until logged in</div>"
"7","User Story","As a user, I would like to be able to unregister from the platform ","Closed","3","<div>-Once unregistered, user can't login</div><div>-User won't show up in searches anymore</div><div>-Can't be invited to a match</div><div>-All open games will be forfeited</div><div>-Other players can't view their profile</div>"
"8","User Story","As a player, I would like to create a new match ","Closed","1","<div><span lang=X-NONE style=""margin:0px;color:windowtext;font-size:11pt;text-align:left;font-family:Calibri, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Must be able to play multiple matches async</span></span><span style=""margin:0px;color:windowtext;font-size:11pt;text-align:left;font-family:Calibri, Calibri_MSFontService, sans-serif;"">&nbsp;</span><br></div>"
"10","User Story","As a player, I would like to be able to accept invitations to matches ","Closed","1","<div>-Once invitation is accepted user can is brought into the match</div><div>-Match board is initialized</div><div>-Challenger receives message indicating match invitation has been accepted</div>"
"11","User Story","As a player, I would like to be able to reject invitations to matches ","Closed","3","<div><span lang=X-NONE style=""margin:0px;color:windowtext;font-size:11pt;text-align:left;font-family:Calibri, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Send notification of rejection</span></span><span style=""margin:0px;color:windowtext;font-size:11pt;text-align:left;font-family:Calibri, Calibri_MSFontService, sans-serif;"">&nbsp;</span><br></div>"
"13","User Story","As a player, I would like to be able to quit a match. ","Closed","3","<ul><li><span lang=X-NONE style=""color:windowtext;font-size:11pt;margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Abandon match</span></span><span style=""color:windowtext;font-size:11pt;margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;"">&nbsp;</span></li><li><span lang=X-NONE style=""color:windowtext;font-size:11pt;margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Add abandoned match to history or note match has been abandoned</span></span><span style=""color:windowtext;font-size:11pt;margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;"">&nbsp;</span></li></ul>"
"14","User Story","As a user, I would like to be able to view my profile ","Closed","4","<ul><li><span lang=X-NONE style=""color:windowtext;font-size:11pt;margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">User must be registered.</span></span><span style=""color:windowtext;font-size:11pt;margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;"">&nbsp;</span></li><li><span lang=X-NONE style=""color:windowtext;font-size:11pt;margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">View Match history</span></span><span style=""color:windowtext;font-size:11pt;margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;"">&nbsp;</span></li><li><span lang=X-NONE style=""color:windowtext;font-size:11pt;margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">What else is in user profile?</span></span><span style=""color:windowtext;font-size:11pt;margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;"">&nbsp;</span></li><li><span lang=X-NONE style=""color:windowtext;font-size:11pt;margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Can view others profiles?</span></span><span style=""color:windowtext;font-size:11pt;margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;"">&nbsp;Yes</span></li></ul>"
"15","User Story","As a player, I want to play Legan chess ","Closed","1","<ul><li>Follows Legan chess rules</li><ul><li><a href=""https://en.wikipedia.org/wiki/Legan_chess"">https://en.wikipedia.org/wiki/Legan_chess</a><br></li><li><a href=""https://brainking.com/en/GameRules?tp=70"">https://brainking.com/en/GameRules?tp=70</a></li><li><a href=""https://www.youtube.com/watch?v=7HdUkGNVURk"">https://www.youtube.com/watch?v=7HdUkGNVURk</a><br></li></ul><li>System determines who makes first move</li><li>Players can only make moves on their turn</li><li>Game doesn't start until enough players have joined</li><li>State of match is saved</li></ul>"
